table,approach,model,ablation,run,outcome,n,n_cost,cost_mean_usd,cost_median_usd,cost_sd_usd,cost_p90_usd,cost_max_usd,max_cost_instance,n_time,time_mean_min,time_median_min,time_sd_min,time_p90_min,time_max_min,max_time_instance
ablation,Artisan,gpt-5.1,w/o Format,artisan-gpt5.1-9223-without_format,FULL_REPRO,17,17,0.380025,0.320710,0.220260,0.707937,0.764974,pythonic-t8-r1,17,69.086275,26.216667,117.331232,158.436667,473.350000,urcrat-t1-r1
ablation,Artisan,gpt-5.1,w/o Format,artisan-gpt5.1-9223-without_format,LASTMILE_REPRO,18,18,0.359513,0.370517,0.106538,0.470277,0.607881,mutation-t2-r1,18,27.707407,22.908333,14.701392,46.305000,52.516667,neurojit-t3-r1
ablation,Artisan,gpt-5.1,w/o Format,artisan-gpt5.1-9223-without_format,COPY_REPRO,9,9,0.435986,0.353373,0.222500,0.755814,0.765133,llm-t1-r1,9,31.824074,31.250000,19.397097,52.873333,65.833333,axa-t1-r1
ablation,Artisan,gpt-5.1,w/o Format,artisan-gpt5.1-9223-without_format,MISMATCH_ERROR,13,13,0.682831,0.647627,0.187640,0.937575,1.049498,crossover-t3-r1,13,46.123077,31.683333,54.403825,76.613333,216.933333,provenfix-t2-r1
ablation,Artisan,gpt-5.1,w/o Format,artisan-gpt5.1-9223-without_format,RUNTIME_ERROR,2,2,0.542706,0.542706,0.141209,0.622586,0.642556,rust-t1-r1,2,263.483333,263.483333,310.608439,439.190000,483.116667,rust-t1-r1
ablation,Artisan,gpt-5.1,w/o Format,artisan-gpt5.1-9223-without_format,STATIC_ERROR,1,1,0.230643,0.230643,,0.230643,0.230643,action-t6-r1,1,32.550000,32.550000,,32.550000,32.550000,action-t6-r1
ablation,Artisan,gpt-5.1,w/o Method Judge,artisan-gpt5.1-7a04-without_method,FULL_REPRO,9,9,0.313608,0.342431,0.134572,0.462453,0.514761,action-t4-r1,9,39.824074,11.833333,58.931847,98.596667,185.316667,ppt4j-t2-r1
ablation,Artisan,gpt-5.1,w/o Method Judge,artisan-gpt5.1-7a04-without_method,LASTMILE_REPRO,18,18,0.381360,0.333105,0.170797,0.602558,0.750534,action-t1-r1,18,29.512963,23.450000,27.578714,63.366667,108.350000,action-t1-r1
ablation,Artisan,gpt-5.1,w/o Method Judge,artisan-gpt5.1-7a04-without_method,COPY_REPRO,21,21,0.379219,0.300657,0.204046,0.700916,0.835768,pythonic-t3-r1,21,32.614286,23.550000,26.897857,67.083333,108.433333,provenfix-t4-r1
ablation,Artisan,gpt-5.1,w/o Method Judge,artisan-gpt5.1-7a04-without_method,MISMATCH_ERROR,8,8,0.625858,0.572876,0.235068,0.953707,1.043115,sctype-t3-r1,8,23.239583,21.225000,12.535499,37.771667,48.400000,axa-t3-r1
ablation,Artisan,gpt-5.1,w/o Method Judge,artisan-gpt5.1-7a04-without_method,RUNTIME_ERROR,3,3,0.731877,0.875770,0.363602,0.976363,1.001511,llm-t1-r1,3,39.800000,38.616667,3.320433,42.563333,43.550000,roam-t2-r1
ablation,Artisan,gpt-5.1,w/o Method Judge,artisan-gpt5.1-7a04-without_method,STATIC_ERROR,1,1,0.320833,0.320833,,0.320833,0.320833,action-t6-r1,1,42.816667,42.816667,,42.816667,42.816667,action-t6-r1
ablation,Artisan,gpt-5.1,w/o Output Judge,artisan-gpt5.1-3ee0-without_output,FULL_REPRO,13,13,0.225600,0.215624,0.082695,0.342430,0.403206,pmsat-t5-r1,13,13.606410,9.900000,15.592364,21.200000,61.283333,ppt4j-t2-r1
ablation,Artisan,gpt-5.1,w/o Output Judge,artisan-gpt5.1-3ee0-without_output,LASTMILE_REPRO,14,14,0.304995,0.321188,0.127718,0.398463,0.615311,rust-t5-r1,14,13.027381,11.150000,7.446753,23.770000,30.300000,rust-t5-r1
ablation,Artisan,gpt-5.1,w/o Output Judge,artisan-gpt5.1-3ee0-without_output,COPY_REPRO,1,1,0.265052,0.265052,,0.265052,0.265052,action-t2-r1,1,10.166667,10.166667,,10.166667,10.166667,action-t2-r1
ablation,Artisan,gpt-5.1,w/o Output Judge,artisan-gpt5.1-3ee0-without_output,MISMATCH_ERROR,19,19,0.281486,0.252220,0.111359,0.435363,0.494122,pythonic-t10-r1,19,11.172807,8.633333,7.919403,19.576667,36.400000,provenfix-t3-r1
ablation,Artisan,gpt-5.1,w/o Output Judge,artisan-gpt5.1-3ee0-without_output,RUNTIME_ERROR,13,13,0.275653,0.230809,0.103910,0.391819,0.525993,action-t5-r1,13,12.248718,10.766667,9.648075,19.830000,40.100000,action-t6-r1
baseline,Artisan,DeepSeek,,artisan-deepseek-reasoner-6f4b,FULL_REPRO,11,11,0.030639,0.030280,0.012060,0.043155,0.050906,pmsat-t4-r1,11,62.215152,20.116667,145.399385,36.983333,499.916667,urcrat-t1-r1
baseline,Artisan,DeepSeek,,artisan-deepseek-reasoner-6f4b,LASTMILE_REPRO,8,8,0.030774,0.026527,0.014180,0.047633,0.056129,bcia-t3-r1,8,30.389583,31.825000,15.404926,49.038333,49.283333,roam-t5-r1
baseline,Artisan,DeepSeek,,artisan-deepseek-reasoner-6f4b,COPY_REPRO,4,4,0.040179,0.034485,0.015121,0.054937,0.062156,provenfix-t2-r1,4,47.170833,27.000000,42.491758,85.831667,110.866667,neurojit-t3-r1
baseline,Artisan,DeepSeek,,artisan-deepseek-reasoner-6f4b,MISMATCH_ERROR,15,15,0.041316,0.042274,0.014546,0.060813,0.063967,roam-t3-r1,15,44.684444,36.100000,29.612497,89.053333,96.400000,sctype-t3-r1
baseline,Artisan,DeepSeek,,artisan-deepseek-reasoner-6f4b,RUNTIME_ERROR,5,5,0.044695,0.047465,0.016968,0.060955,0.064517,rust-t1-r1,5,44.763333,49.716667,17.179087,56.700000,58.533333,roam-t4-r1
baseline,Artisan,DeepSeek,,artisan-deepseek-reasoner-6f4b,STATIC_ERROR,17,17,0.033372,0.029635,0.013190,0.053397,0.058964,rust-t3-r1,17,104.514257,18.983333,181.118645,482.600000,482.816667,rust-t5-r1
baseline,Artisan,gpt-5-mini,,artisan-gpt5mini-845b,FULL_REPRO,15,15,0.068726,0.059653,0.046278,0.136511,0.165811,pythonic-t7-r1,15,73.662584,24.246852,122.581143,186.041360,463.905936,urcrat-t1-r1
baseline,Artisan,gpt-5-mini,,artisan-gpt5mini-845b,LASTMILE_REPRO,9,9,0.054639,0.046383,0.032347,0.085751,0.124900,roam-t5-r1,9,18.060426,14.924832,12.833099,37.107740,41.360818,roam-t5-r1
baseline,Artisan,gpt-5-mini,,artisan-gpt5mini-845b,COPY_REPRO,6,6,0.075349,0.081610,0.042526,0.118108,0.128359,unimocg-t2-r1,6,21.273527,19.029918,15.317356,36.818216,49.552868,roam-t3-r1
baseline,Artisan,gpt-5-mini,,artisan-gpt5mini-845b,MISMATCH_ERROR,24,24,0.146446,0.134151,0.059759,0.234111,0.288379,interference-t2-r1,24,42.026032,24.618972,46.089282,116.063244,172.248912,provenfix-t3-r1
baseline,Artisan,gpt-5-mini,,artisan-gpt5mini-845b,RUNTIME_ERROR,6,6,0.183295,0.164184,0.068123,0.262893,0.292553,llm-t3-r1,6,28.688940,23.660853,11.264815,42.138176,48.412274,dypybench-t3-r1
baseline,Artisan,gpt-5.1,,artisan-gpt5.1-dbe0,FULL_REPRO,24,24,0.339307,0.321854,0.174737,0.568596,0.690160,pythonic-t9-r1,24,40.231944,20.391667,49.743961,116.035000,185.100000,provenfix-t2-r1
baseline,Artisan,gpt-5.1,,artisan-gpt5.1-dbe0,LASTMILE_REPRO,20,20,0.371647,0.372294,0.148477,0.510883,0.739212,unimocg-t1-r1,20,32.496141,28.991667,18.337896,59.646667,75.383333,rust-t3-r1
baseline,Artisan,gpt-5.1,,artisan-gpt5.1-dbe0,COPY_REPRO,2,2,0.292444,0.292444,0.004226,0.294834,0.295432,action-t6-r1,2,14.466667,14.466667,1.154941,15.120000,15.283333,action-t6-r1
baseline,Artisan,gpt-5.1,,artisan-gpt5.1-dbe0,MISMATCH_ERROR,10,10,0.689113,0.668853,0.203985,0.963559,1.000899,npetest-t2-r1,10,56.983333,50.408333,41.451893,110.798333,137.633333,action-t5-r1
baseline,Artisan,gpt-5.1,,artisan-gpt5.1-dbe0,RUNTIME_ERROR,4,4,0.801118,0.783377,0.076346,0.874094,0.908261,unimocg-t2-r1,4,167.033333,70.225000,214.316296,364.810000,487.650000,rust-t2-r1
baseline,OpenHands,DeepSeek,,openhands-deepseek-reasoner-bd34,FULL_REPRO,3,3,0.046389,0.043737,0.016399,0.059910,0.063953,pythonic-t4-r1,3,9.228387,9.002965,1.285532,10.289970,10.611721,pythonic-t4-r1
baseline,OpenHands,DeepSeek,,openhands-deepseek-reasoner-bd34,MISMATCH_ERROR,6,6,0.036949,0.033750,0.010107,0.048605,0.053665,pythonic-t5-r1,6,12.736319,10.110626,7.549055,19.859480,27.847769,axa-t3-r1
baseline,OpenHands,DeepSeek,,openhands-deepseek-reasoner-bd34,RUNTIME_ERROR,6,6,0.044333,0.044336,0.007405,0.052521,0.052877,pythonic-t10-r1,6,9.915309,9.616640,1.396033,11.303540,12.539655,lasapp-t2-r1
baseline,OpenHands,DeepSeek,,openhands-deepseek-reasoner-bd34,STATIC_ERROR,45,45,0.032540,0.032282,0.008237,0.040777,0.050741,urcrat-t1-r1,45,13.440579,9.747955,10.049619,20.730006,62.467134,ppt4j-t2-r1
baseline,OpenHands,gpt-5-mini,,openhands-gpt5mini-a4eb,LASTMILE_REPRO,1,1,0.027048,0.027048,,0.027048,0.027048,bloat-t2-r1,1,4.185199,4.185199,,4.185199,4.185199,bloat-t2-r1
baseline,OpenHands,gpt-5-mini,,openhands-gpt5mini-a4eb,COPY_REPRO,1,1,0.055625,0.055625,,0.055625,0.055625,sctype-t3-r1,1,20.813726,20.813726,,20.813726,20.813726,sctype-t3-r1
baseline,OpenHands,gpt-5-mini,,openhands-gpt5mini-a4eb,MISMATCH_ERROR,25,25,0.050942,0.051939,0.030602,0.085170,0.136227,roam-t4-r1,25,15.312130,4.809470,21.334543,62.515666,62.796285,pythonic-t9-r1
baseline,OpenHands,gpt-5-mini,,openhands-gpt5mini-a4eb,RUNTIME_ERROR,15,15,0.038144,0.040119,0.021920,0.066131,0.068123,pythonic-t10-r1,15,26.236679,12.059784,26.878609,62.653947,62.736134,action-t5-r1
baseline,OpenHands,gpt-5-mini,,openhands-gpt5mini-a4eb,STATIC_ERROR,18,18,0.034541,0.014689,0.040065,0.093471,0.119004,provenfix-t4-r1,18,32.481076,13.484781,27.962623,62.814166,62.886641,rust-t3-r1
baseline,OpenHands,gpt-5.1,,openhands-gpt5.1-41ec,FULL_REPRO,5,5,0.349650,0.368351,0.103411,0.443443,0.477340,pythonic-t10-r1,5,21.423333,9.483333,24.081265,45.596667,63.783333,ppt4j-t2-r1
baseline,OpenHands,gpt-5.1,,openhands-gpt5.1-41ec,LASTMILE_REPRO,7,7,0.271635,0.301951,0.148354,0.423029,0.508544,roam-t3-r1,7,25.242857,20.633333,17.794243,41.576667,63.866667,bloat-t3-r1
baseline,OpenHands,gpt-5.1,,openhands-gpt5.1-41ec,COPY_REPRO,4,4,0.178915,0.122694,0.167905,0.343752,0.419580,npetest-t2-r1,4,15.283333,17.158333,6.204553,19.930000,20.200000,unimocg-t1-r1
baseline,OpenHands,gpt-5.1,,openhands-gpt5.1-41ec,MISMATCH_ERROR,12,12,0.303208,0.311359,0.120190,0.437161,0.472812,pythonic-t5-r1,12,17.477778,10.100000,18.074705,43.103333,63.666667,mutation-t2-r1
baseline,OpenHands,gpt-5.1,,openhands-gpt5.1-41ec,RUNTIME_ERROR,5,5,0.234623,0.271035,0.123250,0.330257,0.338471,npetest-t4-r1,5,24.320000,12.150000,22.642562,48.463333,62.716667,pythonic-t4-r1
baseline,OpenHands,gpt-5.1,,openhands-gpt5.1-41ec,STATIC_ERROR,27,27,0.192063,0.196663,0.156137,0.380169,0.581157,provenfix-t3-r1,27,22.962963,15.766667,19.426851,54.870000,63.633333,rust-t3-r1
baseline,SWE-agent,DeepSeek,,sweagent-deepseek-reasoner-4bdc,LASTMILE_REPRO,1,1,0.039833,0.039833,,0.039833,0.039833,bloat-t1-r1,1,6.525701,6.525701,,6.525701,6.525701,bloat-t1-r1
baseline,SWE-agent,DeepSeek,,sweagent-deepseek-reasoner-4bdc,MISMATCH_ERROR,6,6,0.042517,0.034052,0.024983,0.070413,0.088424,pythonic-t8-r1,6,12.508730,14.983467,5.018573,16.343638,16.461159,pythonic-t4-r1
