table,approach,model,ablation,run,outcome,n,n_cost,cost_mean_usd,cost_median_usd,cost_sd_usd,cost_p90_usd,cost_max_usd,max_cost_instance,n_time,time_mean_min,time_median_min,time_sd_min,time_p90_min,time_max_min,max_time_instance
ablation,Artisan,gpt-5.1,w/o Format,artisan-gpt5.1-9223-without_format,ALL,60,60,0.450806,0.401282,0.218239,0.754633,1.049498,crossover-t3-r1,60,51.978889,26.975000,89.107783,85.853333,483.116667,rust-t1-r1
ablation,Artisan,gpt-5.1,w/o Format,artisan-gpt5.1-9223-without_format,SUCCESS,35,35,0.369476,0.363244,0.169156,0.617057,0.764974,pythonic-t8-r1,35,47.805714,25.016667,83.825752,73.076667,473.350000,urcrat-t1-r1
ablation,Artisan,gpt-5.1,w/o Format,artisan-gpt5.1-9223-without_format,FAILURE,25,25,0.564669,0.632710,0.231082,0.801113,1.049498,crossover-t3-r1,25,57.821333,31.766667,97.489104,77.783333,483.116667,rust-t1-r1
ablation,Artisan,gpt-5.1,w/o Method Judge,artisan-gpt5.1-7a04-without_method,ALL,60,60,0.419564,0.372193,0.222810,0.754025,1.043115,sctype-t3-r1,60,32.044722,23.983333,31.323661,68.066667,185.316667,ppt4j-t2-r1
ablation,Artisan,gpt-5.1,w/o Method Judge,artisan-gpt5.1-7a04-without_method,SUCCESS,27,27,0.358776,0.335195,0.160328,0.543427,0.750534,action-t1-r1,27,32.950000,20.850000,39.880382,80.223333,185.316667,ppt4j-t2-r1
ablation,Artisan,gpt-5.1,w/o Method Judge,artisan-gpt5.1-7a04-without_method,FAILURE,33,33,0.469301,0.393207,0.254907,0.867770,1.043115,sctype-t3-r1,33,31.304040,24.416667,22.705544,47.943333,108.433333,provenfix-t4-r1
ablation,Artisan,gpt-5.1,w/o Output Judge,artisan-gpt5.1-3ee0-without_output,ALL,60,60,0.273325,0.238275,0.108296,0.410473,0.615311,rust-t5-r1,60,12.349167,10.033333,10.035927,21.531667,61.283333,ppt4j-t2-r1
ablation,Artisan,gpt-5.1,w/o Output Judge,artisan-gpt5.1-3ee0-without_output,SUCCESS,27,27,0.266768,0.234737,0.113782,0.384116,0.615311,rust-t5-r1,27,13.306173,11.066667,11.833176,23.190000,61.283333,ppt4j-t2-r1
ablation,Artisan,gpt-5.1,w/o Output Judge,artisan-gpt5.1-3ee0-without_output,FAILURE,33,33,0.278690,0.241813,0.105065,0.430116,0.525993,action-t5-r1,33,11.566162,8.683333,8.398073,20.013333,40.100000,action-t6-r1
baseline,Artisan,DeepSeek,,artisan-deepseek-reasoner-6f4b,ALL,60,60,0.035908,0.033284,0.014243,0.056412,0.064517,rust-t1-r1,60,63.116539,25.116667,116.613007,91.240000,499.916667,urcrat-t1-r1
baseline,Artisan,DeepSeek,,artisan-deepseek-reasoner-6f4b,SUCCESS,19,19,0.030696,0.028068,0.012610,0.045375,0.056129,bcia-t3-r1,19,48.814912,20.350000,109.990445,49.003333,499.916667,urcrat-t1-r1
baseline,Artisan,DeepSeek,,artisan-deepseek-reasoner-6f4b,FAILURE,41,41,0.038323,0.033876,0.014449,0.060314,0.064517,rust-t1-r1,41,69.744123,27.416667,120.298351,96.400000,482.816667,rust-t5-r1
baseline,Artisan,gpt-5-mini,,artisan-gpt5mini-845b,ALL,60,60,0.109820,0.104450,0.068542,0.194650,0.292553,llm-t3-r1,60,42.931369,23.189740,69.639802,72.174473,463.905936,urcrat-t1-r1
baseline,Artisan,gpt-5-mini,,artisan-gpt5mini-845b,SUCCESS,24,24,0.063444,0.050827,0.041426,0.119446,0.165811,pythonic-t7-r1,24,52.811774,20.525329,99.798421,120.083884,463.905936,urcrat-t1-r1
baseline,Artisan,gpt-5-mini,,artisan-gpt5mini-845b,FAILURE,36,36,0.140738,0.127700,0.065832,0.237934,0.292553,llm-t3-r1,36,36.344432,24.166446,38.970266,53.832519,172.248912,provenfix-t3-r1
baseline,Artisan,gpt-5.1,,artisan-gpt5.1-dbe0,ALL,60,60,0.437613,0.388429,0.226817,0.744154,1.000899,npetest-t2-r1,60,48.039825,27.925000,69.202385,93.971667,487.650000,rust-t2-r1
baseline,Artisan,gpt-5.1,,artisan-gpt5.1-dbe0,SUCCESS,44,44,0.354007,0.353993,0.162290,0.568596,0.739212,unimocg-t1-r1,44,36.715670,24.466667,38.565781,71.373333,185.100000,provenfix-t2-r1
baseline,Artisan,gpt-5.1,,artisan-gpt5.1-dbe0,FAILURE,16,16,0.667531,0.728671,0.223520,0.933836,1.000899,npetest-t2-r1,16,79.181250,50.408333,114.727351,122.725000,487.650000,rust-t2-r1
baseline,OpenHands,DeepSeek,,openhands-deepseek-reasoner-bd34,ALL,60,60,0.034853,0.034528,0.009667,0.049657,0.063953,pythonic-t4-r1,60,12.807016,9.616640,9.065158,20.297779,62.467134,ppt4j-t2-r1
baseline,OpenHands,DeepSeek,,openhands-deepseek-reasoner-bd34,SUCCESS,3,3,0.046389,0.043737,0.016399,0.059910,0.063953,pythonic-t4-r1,3,9.228387,9.002965,1.285532,10.289970,10.611721,pythonic-t4-r1
baseline,OpenHands,DeepSeek,,openhands-deepseek-reasoner-bd34,FAILURE,57,57,0.034246,0.034314,0.009019,0.047208,0.053665,pythonic-t5-r1,57,12.995365,9.639764,9.262734,20.557115,62.467134,ppt4j-t2-r1
baseline,OpenHands,gpt-5-mini,,openhands-gpt5mini-a4eb,ALL,60,60,0.042502,0.040116,0.031919,0.085643,0.136227,roam-t4-r1,60,23.100195,8.723106,25.359020,62.737402,62.886641,rust-t3-r1
