Comprehension,Lambda,MRF
Less than 25%,Never,Never
Between 25% and 75%,Less than 25%,Less than 25%
Less than 25%,Never,Never
Between 25% and 75%,Never,Less than 25%
Between 25% and 75%,Less than 25%,Less than 25%
Less than 25%,Never,Less than 25%
Between 25% and 75%,Less than 25%,Less than 25%
Less than 25%,Less than 25%,Between 25% and 75%
Less than 25%,Never,Never
Less than 25%,Less than 25%,Less than 25%
Less than 25%,Less than 25%,Less than 25%
Between 25% and 75%,More than 75%,More than 75%
Never,Less than 25%,Never
Never,Less than 25%,Never
Less than 25%,Never,Never
Between 25% and 75%,Less than 25%,Between 25% and 75%
Less than 25%,Between 25% and 75%,Less than 25%
Less than 25%,Never,Never
Less than 25%,Never,More than 75%
Between 25% and 75%,Less than 25%,Less than 25%
Never,Less than 25%,Never
Between 25% and 75%,Less than 25%,Less than 25%
Less than 25%,Never,Never
Less than 25%,Between 25% and 75%,Less than 25%
Between 25% and 75%,Less than 25%,Never
Between 25% and 75%,Less than 25%,Between 25% and 75%
Less than 25%,Less than 25%,Never
Less than 25%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Between 25% and 75%
Less than 25%,Less than 25%,Between 25% and 75%
Less than 25%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Less than 25%
Less than 25%,Never,Never
Less than 25%,Between 25% and 75%,Less than 25%
Between 25% and 75%,Between 25% and 75%,Never
Less than 25%,Never,Between 25% and 75%
Less than 25%,Between 25% and 75%,Between 25% and 75%
Between 25% and 75%,Less than 25%,Less than 25%
Between 25% and 75%,Never,Less than 25%
More than 75%,Between 25% and 75%,Between 25% and 75%
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
Never,Between 25% and 75%,Less than 25%
Less than 25%,Less than 25%,Less than 25%
Less than 25%,Less than 25%,Between 25% and 75%
Less than 25%,Between 25% and 75%,Less than 25%
More than 75%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,More than 75%
Never,Less than 25%,Never
Between 25% and 75%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Less than 25%
Between 25% and 75%,Between 25% and 75%,Less than 25%
Less than 25%,Between 25% and 75%,Between 25% and 75%
Less than 25%,Less than 25%,Less than 25%
Less than 25%,Never,Never
Less than 25%,Less than 25%,More than 75%
Less than 25%,Between 25% and 75%,Less than 25%
Between 25% and 75%,Less than 25%,Less than 25%
More than 75%,Less than 25%,More than 75%
Less than 25%,Less than 25%,Between 25% and 75%
Less than 25%,Less than 25%,Never
Less than 25%,More than 75%,Less than 25%
Between 25% and 75%,Less than 25%,Between 25% and 75%
Less than 25%,Never,Less than 25%
Less than 25%,Never,Less than 25%
Between 25% and 75%,Less than 25%,Less than 25%
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
More than 75%,Never,Never
More than 75%,Never,Never
Between 25% and 75%,Less than 25%,Less than 25%
Less than 25%,Between 25% and 75%,Between 25% and 75%
Never,Between 25% and 75%,Less than 25%
Never,Never,Less than 25%
Less than 25%,Less than 25%,Never
Less than 25%,Less than 25%,Less than 25%
Less than 25%,Between 25% and 75%,More than 75%
Less than 25%,Less than 25%,More than 75%
Between 25% and 75%,Less than 25%,Less than 25%
More than 75%,Never,Less than 25%
Between 25% and 75%,Less than 25%,Between 25% and 75%
Between 25% and 75%,Less than 25%,Never
Between 25% and 75%,Less than 25%,Between 25% and 75%
Between 25% and 75%,Never,Never
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
Less than 25%,Never,Never
Less than 25%,Less than 25%,Less than 25%
Less than 25%,Never,Less than 25%
Less than 25%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Between 25% and 75%
Never,Less than 25%,Between 25% and 75%
Never,Less than 25%,Never
Less than 25%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Never
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
Between 25% and 75%,Less than 25%,Less than 25%
Never,Never,Less than 25%
More than 75%,Between 25% and 75%,Less than 25%
Less than 25%,Less than 25%,Less than 25%
Less than 25%,Never,Between 25% and 75%
Less than 25%,Between 25% and 75%,Less than 25%
Between 25% and 75%,Less than 25%,Never
Between 25% and 75%,Never,Between 25% and 75%
Between 25% and 75%,Less than 25%,Less than 25%
Less than 25%,Less than 25%,Less than 25%
Between 25% and 75%,Never,Never
Never,Less than 25%,Never
Between 25% and 75%,Less than 25%,Between 25% and 75%
Less than 25%,Never,Less than 25%
Between 25% and 75%,Never,Between 25% and 75%
Less than 25%,Never,Less than 25%
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
Between 25% and 75%,Less than 25%,Less than 25%
Less than 25%,Between 25% and 75%,Less than 25%
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
Between 25% and 75%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Less than 25%
More than 75%,Less than 25%,Less than 25%
Less than 25%,Less than 25%,Between 25% and 75%
Between 25% and 75%,Less than 25%,More than 75%
Less than 25%,Less than 25%,Between 25% and 75%
More than 75%,More than 75%,Between 25% and 75%
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
Never,Never,Less than 25%
Less than 25%,Between 25% and 75%,Less than 25%
Less than 25%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Never
Less than 25%,Between 25% and 75%,Never
Less than 25%,Less than 25%,Less than 25%
Less than 25%,Never,Never
Never,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Between 25% and 75%
More than 75%,Less than 25%,Less than 25%
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
More than 75%,Never,Never
Less than 25%,Less than 25%,Between 25% and 75%
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
Less than 25%,Less than 25%,Between 25% and 75%
Less than 25%,Between 25% and 75%,Between 25% and 75%
Between 25% and 75%,Less than 25%,Less than 25%
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
Less than 25%,Less than 25%,Less than 25%
Less than 25%,Never,Less than 25%
Less than 25%,Between 25% and 75%,More than 75%
More than 75%,Between 25% and 75%,More than 75%
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
Less than 25%,Never,Never
Less than 25%,Never,Never
Between 25% and 75%,Less than 25%,Between 25% and 75%
Never,More than 75%,Between 25% and 75%
Between 25% and 75%,Less than 25%,Less than 25%
Less than 25%,Never,Never
Less than 25%,Less than 25%,Less than 25%
Less than 25%,Never,Less than 25%
Less than 25%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Between 25% and 75%
Less than 25%,Less than 25%,Less than 25%
More than 75%,Less than 25%,Between 25% and 75%
Between 25% and 75%,Between 25% and 75%,Less than 25%
Less than 25%,Never,Less than 25%
Less than 25%,Between 25% and 75%,More than 75%
Between 25% and 75%,Never,Never
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
Between 25% and 75%,Less than 25%,Less than 25%
Less than 25%,Never,Never
Less than 25%,Less than 25%,Less than 25%
Less than 25%,Less than 25%,Between 25% and 75%
Between 25% and 75%,Less than 25%,Between 25% and 75%
Between 25% and 75%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Less than 25%
Less than 25%,Never,Never
Less than 25%,Never,Never
Between 25% and 75%,Less than 25%,Never
Between 25% and 75%,Between 25% and 75%,Less than 25%
Less than 25%,Never,Never
Between 25% and 75%,Never,Less than 25%
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
Never,Never,Less than 25%
Between 25% and 75%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Between 25% and 75%
More than 75%,Less than 25%,Never
Between 25% and 75%,Between 25% and 75%,Less than 25%
Less than 25%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Between 25% and 75%
Less than 25%,Never,Never
Between 25% and 75%,Less than 25%,Never
Between 25% and 75%,Less than 25%,Less than 25%
Between 25% and 75%,Between 25% and 75%,Between 25% and 75%
Between 25% and 75%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Between 25% and 75%
Never,Less than 25%,Between 25% and 75%
Less than 25%,Between 25% and 75%,Never
Never,Between 25% and 75%,Never
Less than 25%,Between 25% and 75%,Less than 25%
Less than 25%,Between 25% and 75%,Less than 25%
Less than 25%,Between 25% and 75%,Less than 25%
Less than 25%,Never,Never
Between 25% and 75%,Less than 25%,Less than 25%
More than 75%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Never
Less than 25%,Never,Less than 25%
Between 25% and 75%,Less than 25%,Never
Between 25% and 75%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,More than 75%
Between 25% and 75%,Less than 25%,Between 25% and 75%
Less than 25%,Between 25% and 75%,Less than 25%
More than 75%,More than 75%,More than 75%
Between 25% and 75%,Never,Never
Between 25% and 75%,Between 25% and 75%,Never
Less than 25%,Less than 25%,Less than 25%
Between 25% and 75%,Less than 25%,Less than 25%
